snowbot,Songs about 'snow' (or at least mention 'snow'),https://open.spotify.com/embed/user/jeem8/playlist/4rE9XrERcLIQbrtHMbvpkk
rainbot,Songs about the rain,https://open.spotify.com/embed/user/jeem8/playlist/41L74udeD0c4OUoTvJw27r
New Zealand - Intro (◉ easiest),Essential Kiwi bands that everyone should know,https://open.spotify.com/user/jeem8/playlist/1sY1SNC1eeRH1qZsp8XIZf
New Zealand - Intro (▩ more difficult),More good stuff,https://open.spotify.com/user/jeem8/playlist/0qqB6QBa2ClvA7opLC9BL4
New Zealand - Intro (◈ Expert ),On to the next level,https://open.spotify.com/user/jeem8/playlist/2ruHknVzXgrU4awDIYwpA0
work stream,Nearly eight hours of blissful tunes,https://open.spotify.com/embed/user/jeem8/playlist/5PvR6HDyfThcC7BiqHc3Qs
